TEXfirst_name,TEXlast_name,CATcar_color,CATcar_make,CATcar_types,NUMcar_model_year,NUMnet_worth
Tadd,Robet,Blue,BMW,van,2013,659243.62
Gaylor,Gabler,Blue,BMW,truck,1989,986878.97
Jermaine,Fayerbrother,Blue,BMW,roadster,2003,799169.04
Weider,Whitehead,Blue,BMW,roadster,2001,670754.1
Lexie,Gniewosz,Blue,BMW,pickup,2005,412285.13
Hilton,Halladay,Pink,BMW,SUV,2006,621479.73
Abbie,Meaden,Pink,BMW,pickup,2010,139936.49
Hermie,Eveque,Yellow,BMW,pickup,2007,193534.54
Claudetta,Humphris,Yellow,BMW,pickup,1998,412677.93
Trevor,Pybworth,Yellow,BMW,roadster,1994,239527.98
Toddy,Patriskson,Yellow,BMW,roadster,2005,416825.18
Emmy,Baldelli,Blue,BMW,SUV,2005,997435.78
Thadeus,Alywin,Pink,BMW,SUV,2009,924073.34
Krystyna,Chellenham,Pink,BMW,roadster,1997,533954.9
Eimile,Dellenbrook,Red,BMW,pickup,2006,435720.17
Otto,Sobczak,Blue,Ford,SUV,1997,43566.33
Gram,Hedau,Blue,Ford,truck,1973,996555.86
Elton,Nizard,Blue,Ford,pickup,1986,765858.75
Anneliese,Cropton,Blue,Ford,roadster,2003,235883.48
Colly,Skacel,Yellow,Ford,roadster,2002,377871.2
Clarette,Cornwall,Blue,Ford,van,1999,967240.82
Codee,Corradetti,Yellow,Ford,truck,1997,6451.09
Cheslie,Beilby,Blue,Hyundai,van,2009,253980.87
Clarita,Churm,Blue,Mitsubishi,van,1986,561020.23
Carlyn,Sherwin,Blue,Mitsubishi,SUV,2000,935157.37
Cheston,Roscow,Pink,Mitsubishi,SUV,2008,434446.91
Chaunce,Sweating,Pink,Mitsubishi,SUV,1992,334998.12
Patsy,Wozencraft,Pink,Mitsubishi,truck,1996,831101.95
Franky,Armit,Pink,Mitsubishi,pickup,2005,283982.33
Bendicty,Gilluley,Red,Mitsubishi,SUV,2010,576296.95
Kyrstin,Habbert,Red,Mitsubishi,SUV,1968,292616.63
Briant,Hoopper,Red,Mitsubishi,SUV,1996,251745.12
Kary,MacRory,Red,Mitsubishi,roadster,1995,504786.87
Lanie,Kuscha,Yellow,Mitsubishi,truck,1994,876337.39
Hartwell,Mair,Yellow,Mitsubishi,roadster,1997,215697.29
Dael,Bissex,Yellow,Mitsubishi,truck,1987,97048.27
Maddie,Cowin,Yellow,Toyota,roadster,1995,702778.48
Rufus,Grattage,Yellow,Toyota,SUV,2006,952957.94
Alicia,Bysaker,Blue,Toyota,van,1995,555120.67
Artair,Langton,Blue,Toyota,van,1996,334259.67
Jemima,Larkings,Pink,Toyota,van,1999,202756.64
Gael,Tomashov,Pink,Toyota,van,1996,26057.08
Godard,Bredee,Pink,Toyota,truck,1993,428667.95
Veronike,Dumper,Pink,Toyota,truck,1994,297365.63
Haleigh,Narramor,Red,Toyota,van,2012,390441.08
Carmencita,McGlew,Red,Toyota,roadster,2011,447756.07
Nikolia,Bartolomeotti,Yellow,Toyota,pickup,2011,675907.59
Min,Pray,Yellow,Toyota,roadster,2011,24306.61
Clayborn,Docherty,Yellow,Toyota,pickup,2011,966634.06
Belle,Yanov,Yellow,Toyota,pickup,1997,68545.83
